
campaigncutscene_tooltip 				(Κάνε κλικ για να ξεκινήσει το επόμενο κεφάλαιο της ιστορίας)
campaignchapter_locked                  (Κλειδωμένο)


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    Παλέρμο

campaignchapter_food_description        Μια τεράστια πυρκαγιά κατέστρεψε το μαγειρείο και την καντίνα αυτής της φυλακής. Αν δεν βρούμε γρήγορα τρόπο να ταΐσουμε τους τρόφιμους, θα έχουμε κανονική εξέγερση.\nΑντιμετώπισε την επισιτιστική κρίση και μετά χτίσε ξανά το Μαγειρείο και την Καντίνα.

adviser_food_fire_1                     Μια κρίση σιγοβράζει σε ένα από τα άλλα μας ιδρύματα.
adviser_food_fire_2                     Κάποιος έβαλε φωτιά στο Μαγειρείο της φυλακής. Προτεραιότητά σου είναι να τη σβήσεις, να αποτρέψεις τυχόν απώλειες και να αποφύγεις περισσότερη ζημιά.  
adviser_food_fire_3                     Χρησιμοποίησε το κουμπί Επείγοντα στη γραμμή εργαλείων, για να καλέσεις την πυροσβεστική.  
adviser_food_fire_4                     Θέσε υπό έλεγχο την πυρκαγιά πριν κατακάψει ολόκληρη τη φυλακή!

objective_food_callfirebrigade          Κάλεσε την πυροσβεστική
objective_food_extinguishflames         Σβήσε τις φλόγες

objective_food_callfirebrigade_description 	Για να καλέσεις την πυροσβεστική, κάνε κλικ στο κουμπί Επείγοντα στη γραμμή εργαλείων και μετά κάνε κλικ στους Πυροσβέστες
objective_food_extinguishflames_description  Όταν έχεις επιλέξει έναν πυροσβέστη, μπορείς να στοχεύσεις εσύ τις μάνικες κρατώντας το πλήκτρο H. Χρησιμοποίησε αυτή τη δυνατότητα, για να εστιάσεις την κατάσβεση στο κέντρο της φωτιάς.\n\nΠροσπάθησε να κρατήσεις τους πυροσβέστες όσο πιο κοντά στη φωτιά μπορείς – θα είναι πιο αποτελεσματικοί έτσι.

adviser_food_savedon1                   Ω, Θεέ μου, υπάρχει ένας επιζώντας στα ερείπια.
adviser_food_savedon2					Απίστευτο, είναι ο Δον Παλέρμο. Τόσους τρόφιμους χάσαμε... και έτυχε να τη γλιτώσει ο αρχιμαφιόζος μας.  
adviser_food_donintro2					Τα άσχημα νέα για τον Παλέρμο είναι ότι με τις περικοπές του προϋπολογισμού αναγκαστήκαμε να απολύσουμε όλους τους μόνιμους γιατρούς μας.  
