
campaigncutscene_tooltip 				（点击触发剧情的下一章）
campaignchapter_locked                  （锁定）


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    巴勒莫

campaignchapter_food_description        一场大火毁掉了这所监狱的厨房和餐厅。如果我们不能很快找到办法给囚犯们提供食物，我们将不得不面对最为严重的暴动。\n解决食物危机，然后重建厨房和餐厅。

adviser_food_fire_1                     我们的其他一所监狱正面临潜在危机。
adviser_food_fire_2                     有人在监狱厨房放火。当务之急是灭火、阻止任何人员伤亡并避免更大的伤害。
adviser_food_fire_3                     使用工具栏中的应急服务按钮呼叫消防队。
adviser_food_fire_4                     在整个监狱被烧毁之前控制住火势！

objective_food_callfirebrigade          呼叫消防部门
objective_food_extinguishflames         灭火

objective_food_callfirebrigade_description 	在工具栏点击紧急按钮，然后点击消防员呼叫消防队
objective_food_extinguishflames_description  选择消防员后，你可以按住 H 键手动瞄准他们的软管。用这种方式将软管瞄准火焰中心。\n\n请尽可能让消防员靠近火源——这样灭火工作会更有效。

adviser_food_savedon1                   天呐，废墟中有一个幸存者。
adviser_food_savedon2					难以置信，是唐•巴勒莫。在所有的犯人中……只有他称得上黑帮老大。
adviser_food_donintro2					对他而言，坏消息是：削减预算意味着我们不得不解雇所有常驻医师。
adviser_food_donintro3				 	好消息是，我们的医务室还能用。聘请几名医师，他们会在我们收拾烂摊子时照顾唐•巴勒莫。

adviser_food_afterfire3                 我们得清理这个烂摊子。
adviser_food_afterfire4                 用推平工具拆除被毁坏的餐厅和厨房。你需要清除所有的瓦砾。
adviser_food_afterfire6                 指定与道路相邻的垃圾区。我们的工人会把残骸倾倒在那里供垃圾车处置。
adviser_food_dismissfiremen1			最后，你可以将消防员送回原处，因为他们已经完成了工作。
adviser_food_gamespeed                  拆除这些建筑需要一些时间。你可以用时钟下的按钮让时间过得更快一些。

adviser_food_todolist1					我已经把关于每个目标的更多详细信息添加到你的待办事项列表中。
adviser_food_todolist2					任何时候，如果你不确定该怎么做，突出显示目标，你就会看到更多说明。

objective_food_buildmedicalward_doctors 为医务室聘请几名医师

objective_food_DismissAllFiremen		遣散消防员
objective_food_cleararea                清除烧毁的残骸 
objective_food_buildgarbagearea         指定一个垃圾区
objective_food_clearcanteen             清除餐厅残骸
objective_food_clearkitchen             清除厨房残骸
objective_food_hiremoreworkmen			（可选）雇佣更多工人加快拆除

